Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,7875,5833,1875,10750,4250,1708,2208,12202459,9000,1166,3167,2958
10,20833,16958,666,1042,10417,334,1041,159959,8583,250,1625,417
50,494959,654833,750,1250,39125,208,1125,497375,34125,250,1625,334
100,478708,442583,708,1333,58250,167,1084,496709,13666,208,1416,292
250,523417,481125,750,542,38708,125,625,732542,30250,208,1500,333
500,665959,653792,792,500,75875,208,3958,895708,49125,208,1333,375
750,874459,854000,666,500,116000,166,333,569000,87708,250,1417,292
1000,1172708,1193625,833,292,152458,208,292,705667,113833,166,1292,292
2500,2714416,2349750,375,459,409750,167,416,1443458,286958,125,1500,250
5000,4764833,2546125,1083,1292,567958,291,5042,2545667,574875,166,1625,417
7500,3248250,3197042,417,20458,1009500,250,1666,2765209,658541,125,1250,208
10000,5494958,5344416,625,584,1301042,208,167,2047333,879458,166,1166,208
25000,12316208,10890583,333,375,3289750,167,291,4720042,1871167,125,958,83
50000,26994875,22454167,1166,541,3141750,250,375,5532750,1409083,166,1041,208
100000,48085541,48682666,3167,1167,2815417,375,458,11117208,451500,209,1250,291
250000,157684041,155186167,4875,541,7851709,750,1250,36529417,846833,417,1583,292
500000,359138125,328062750,3041,625,19943250,666,709,74332166,2074167,375,1833,250
1000000,998491042,1045402625,6667,4500,47500167,458,541,184977083,2565833,750,1833,708
