Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,2958,1625,583,583,3333,375,584,4434167,3125,375,1125,1250
10,7375,5792,250,334,3750,42,291,57667,2834,84,584,125
50,207583,164000,250,500,16833,167,292,177958,11584,84,625,125
100,308958,210041,291,417,27209,125,375,235750,5792,41,625,83
250,220625,184750,250,291,17917,125,208,345208,13583,83,666,125
500,313542,304042,333,250,34458,167,125,428375,26541,83,709,167
750,442209,420875,291,291,54000,125,167,264458,48166,84,1542,208
1000,542208,1016250,500,750,86000,125,250,336125,52417,42,708,125
2500,1092125,1046750,542,292,208959,125,458,654792,124959,83,666,83
5000,2283500,1144083,333,208,264833,125,3708,1161041,199167,84,709,125
7500,1511833,1573709,375,10625,549250,41,750,1006834,307667,42,792,291
10000,2406000,2574334,333,625,695583,125,291,845500,394083,83,833,125
25000,8758167,6841291,500,2333,2172375,125,250,2318250,919250,84,1042,125
50000,14616625,14536584,2416,583,2264459,375,333,3672542,876958,125,1625,417
100000,31088625,34596583,2500,4625,2046500,333,292,7211458,295333,208,1167,333
250000,118378583,101276750,3167,1083,4573291,1042,292,18553625,367417,208,1416,292
500000,270870292,238017625,2875,1041,13445333,416,83,52608833,1439542,417,1584,417
1000000,688137250,624666000,4083,1125,28840708,1000,83,123233666,1436167,542,1667,667
2000000,1731391500,1491287500,4417,6042,66607417,916,2250,501047083,5550584,625,1875,625
4000000,3239420958,3023143375,3917,1917,137458792,1125,4958,2957116833,5986000,667,2500,334
7199369,5716125583,5591302708,4459,2542,299660583,1417,5541,8002629125,13948125,875,1916,625
8000000,6413338958,6508385708,3958,2625,287054042,834,2083,11680798458,16102459,500,1958,667
10000000,8023709750,8181921417,3667,1792,375055917,708,2750,14956921625,16370458,500,2292,625
