Size,AddTime,AddAllTime,ClearTime,ContainsTime,ContainsAllTime,IsEmptyTime,RemoveTime,RemoveAllTime,RetainAllTime,SizeTime,ToArrayTime,ToStringTime
1,8583,5042,1417,2875,3912167,1917,3208,24083,6958,1209,3991833,2334
10,18000,13417,584,1291,34750,500,2125,17750,2166,292,29375,333
50,557167,180833,250,542,28334,125,791,2326541,1541,83,17041,83
100,371791,684209,667,1916,109959,375,1834,288125,1709,125,7625,125
250,235750,197459,334,625,81208,541,4042,1020834,6166,209,19375,334
500,424625,330709,292,2625,77750,84,459,737334,4625,84,6125,83
750,449417,443708,291,292,60250,83,2417,1176084,14375,208,26083,459
1000,1294750,556541,291,375,91166,125,291,639083,8166,84,8709,84
2500,1397167,676917,333,334,220334,125,2333,1474250,19084,125,50667,83
5000,2682625,3422500,333,1084,354667,292,375,1078417,35833,41,8291,84
7500,2137167,1450083,250,11166,973334,500,2292,1987375,53250,125,9375,83
10000,2505000,2243875,250,459,777500,167,292,1350708,69750,84,4208,125
25000,7527916,7105167,208,2084,1895958,250,542,3884917,174542,125,5875,208
50000,17618000,17301792,458,708,2262625,292,500,7596208,273375,84,7917,42
100000,34695125,40434708,625,1250,2735458,292,458,11492292,225500,83,10917,41
250000,103701542,114400459,1042,1625,5401042,500,542,33161792,103084,167,15208,167
500000,276178083,242588542,1750,2625,14580083,750,416,82331542,104834,166,15167,166
1000000,658380791,619165208,3375,1583,34509166,625,292,182167666,185875,375,14584,83
